,圖書館,館藏地,索書號,館藏狀態,連結
0,新北市立圖書館,五股開架閱覽,550 8465,等待轉送其他館藏地,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=790004&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
1,新北市立圖書館,五股更新開架閱覽,550 8465,預約保留,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=790004&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
2,新北市立圖書館,八里開架閱覽,550 8465,借出  : 2021/08/01,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
3,新北市立圖書館,樹林柑園開架閱覽,550 8465,借出  : 2021/08/01,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
4,新北市立圖書館,三重培德開架閱覽,550 8465,預約保留,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
5,新北市立圖書館,樹林彭厝開架閱覽,550 8465,借出  : 2021/08/01,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
6,新北市立圖書館,青少年圖書館開架閱覽,550 8465,借出  : 2021/08/01,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
7,新北市立圖書館,新莊裕民開架閱覽,550 8465,借出  : 2021/08/01,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
8,新北市立圖書館,三重培德開架閱覽,550 8465 c.2,在架,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
9,新北市立圖書館,汐止大同分館開架閱覽[原汐止分館],550 8465,在架,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
10,新北市立圖書館,總館7樓開架閱覽[4-7類],550 8465,借出  : 2021/08/01,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
11,新北市立圖書館,中和員山開架閱覽,550 8465,借出  : 2019/10/22,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
12,新北市立圖書館,青少年圖書館開架閱覽,550 8465 c.2,在架,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
13,新北市立圖書館,林口開架閱覽,550 8465,借出  : 2021/08/01,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
14,新北市立圖書館,總館7樓開架閱覽[4-7類],550 8465 c.2,借出  : 2018/08/03,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
15,新北市立圖書館,板橋忠孝開架閱覽,550 8465 c.2,在架,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
16,新北市立圖書館,總館7樓開架閱覽[4-7類],550 8465 c.3,借出  : 2021/08/01,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
17,新北市立圖書館,總館7樓開架閱覽[4-7類],550 8465 c.4,在架,https://webpac.tphcc.gov.tw/webpac/content.cfm?mid=336104&m=as&k0=986729193X&t0=i&c0=and&y10=&y20=&cat0=&dt0=&l0=&lv0=&lc0=&list_num=10&current_page=1&mt=&at=&sj=&py=&pr=&it=&lr=&lg=&si=2&view=d
