,館藏位置(到期日期僅為期限，不代表上架日期),c2,c3,c4
0,兒童室,A11松山(館藏特色:攝影),873.57 6014,
1,兒童室,A11松山(館藏特色:攝影),,
2,兒童室,A11松山(館藏特色:攝影),,
3,兒童室,A12民生(館藏特色:親職教育),873.57 6014,
4,預約待借中,A12民生(館藏特色:親職教育),,
5,一般書庫區,A12民生(館藏特色:親職教育),,
6,保存區2,A12民生(館藏特色:親職教育),,
7,兒童室,A12民生(館藏特色:親職教育),,
8,密集書庫區(採線上預約),A12民生(館藏特色:親職教育),,
9,已借出/到期:2021-08-15,A13三民(館藏特色:美術),873.57 6014,
10,已借出/到期:2021-08-15,A13三民(館藏特色:美術),,
11,已借出/到期:2021-08-15,A13三民(館藏特色:美術),,
12,已借出/到期:2018-09-21,A13三民(館藏特色:美術),,
13,兒童室,A13三民(館藏特色:美術),,
14,兒童室,A14中崙(館藏特色:漫畫),873.57 6014,
15,已借出/到期:2021-08-15,"A15啟明(館藏特色:視障資料,服務時間至16:30)",873.57 6014,
16,已借出/到期:2020-12-12,B11永春(館藏特色:傳記),873.57 6014,
17,兒童室,B11永春(館藏特色:傳記),,
18,兒童室,B11永春(館藏特色:傳記),,
19,兒童室,B11永春(館藏特色:傳記),,
20,兒童室,B12三興(館藏特色:商品行銷),873.57 6014,
21,已借出/到期:2021-08-15,B13六合(館藏特色:飲食文化),873.57 6014,
22,已借出/到期:2020-12-18,C01總館(2021/7/5起代理延吉預約取書服務),873.57 6014,
23,已借出/到期:2021-08-15,C01總館(2021/7/5起代理延吉預約取書服務),,
24,去向不明,C01總館(2021/7/5起代理延吉預約取書服務),,
25,調撥至外縣市,C01總館(2021/7/5起代理延吉預約取書服務),,
26,已借出/到期:2021-08-15,C11道藩(2021/2/1起代理大安預約取書服務),873.57 6014,
27,密集書庫區(採線上預約),C21延吉(2021/7/5起全面閉館),873.57 6014,
28,兒童室,C21延吉(2021/7/5起全面閉館),,
29,已借出/到期:2021-08-15,D11中山(館藏特色:企業管理),873.57 6014,
30,一般書庫區,D11中山(館藏特色:企業管理),,
31,已借出/到期:2021-08-15,D11中山(館藏特色:企業管理),,
32,兒童室,D11中山(館藏特色:企業管理),,
33,兒童室,D12長安(館藏特色:勞工問題),873.57 6014,
34,兒童室,D12長安(館藏特色:勞工問題),,
35,一般書庫區,D12長安(館藏特色:勞工問題),,
36,兒童室,D13大直(館藏特色:大眾傳播),873.57 6014,
37,兒童室,D13大直(館藏特色:大眾傳播),,
38,已借出/到期:2021-08-15,D13大直(館藏特色:大眾傳播),,
39,已借出/到期:2021-08-15,D13大直(館藏特色:大眾傳播),,
40,兒童室,D13大直(館藏特色:大眾傳播),,
41,兒童室,D13大直(館藏特色:大眾傳播),,
42,兒童室,D21恆安,873.57 6014,
43,密集書庫區(採線上預約),D21恆安,,
44,一般書庫區,D21恆安,,
45,一般書庫區,D41大直書閣(不對外開放，採線上預約),873.57 6014,
46,兒童室,D41大直書閣(不對外開放，採線上預約),,
47,兒童室,D41大直書閣(不對外開放，採線上預約),,
48,兒童室,D41大直書閣(不對外開放，採線上預約),,
49,兒童室,D41大直書閣(不對外開放，採線上預約),,
50,兒童室,E11王貫英(館藏特色:旅遊),873.57 6014,
51,密集書庫區(採線上預約),E11王貫英(館藏特色:旅遊),,
52,密集書庫區(採線上預約),E11王貫英(館藏特色:旅遊),,
53,已借出/到期:2021-08-15,E12城中(館藏特色:家政),873.57 6014,
54,一般書庫區,E12城中(館藏特色:家政),,
55,一般書庫區,E12城中(館藏特色:家政),,
56,兒童室,E12城中(館藏特色:家政),,
57,一般書庫區,EOB西門智慧圖書館(12:30-18:30開放),873.57 6014,
58,兒童室,EOB2古亭智慧圖書館,873.57 6014,
59,兒童室,F11延平(館藏特色:鄉土文化),873.57 6014,
60,一般書庫區,F11延平(館藏特色:鄉土文化),,
61,密集書庫區(採線上預約),F12大同(館藏特色:聽障資料),873.57 6014,
62,一般書庫區,F12大同(館藏特色:聽障資料),,
63,兒童室,F12大同(館藏特色:聽障資料),,
64,兒童室,F12大同(館藏特色:聽障資料),,
65,兒童室,F12大同(館藏特色:聽障資料),,
66,兒童室,F12大同(館藏特色:聽障資料),,
67,已借出/到期:2021-08-15,F13建成(館藏特色:臺灣史),873.57 6014,
68,兒童室,F13建成(館藏特色:臺灣史),,
69,已借出/到期:2021-08-15,F21蘭州,873.57 6014,
70,密集書庫區(採線上預約),F21蘭州,,
71,一般書庫區,F21蘭州,,
72,已借出/到期:2021-08-15,G11龍山,873.57 6014,
73,兒童室,G12東園(館藏特色:天文氣象),873.57 6014,
74,已借出/到期:2021-08-15,G12東園(館藏特色:天文氣象),,
75,兒童室,G13西園(館藏特色:中國醫藥),873.57 6014,
76,去向不明,G14萬華(館藏特色:臺北史蹟),873.57 6014,
77,兒童室,G21柳鄉(服務時間至16:30),873.57 6014,
78,兒童室,G21柳鄉(服務時間至16:30),,
79,一般書庫區,G21柳鄉(服務時間至16:30),,
80,已借出/到期:2021-08-15,H11景美(近萬隆站，館藏特色:學校教育),873.57 6014,
81,一般書庫區,H11景美(近萬隆站，館藏特色:學校教育),,
82,一般書庫區,H11景美(近萬隆站，館藏特色:學校教育),,
83,兒童室,H12木柵(館藏特色:法律),873.57 6014,
84,一般書庫區,H12木柵(館藏特色:法律),,
85,一般書庫區,H12木柵(館藏特色:法律),,
86,兒童室,H12木柵(館藏特色:法律),,
87,一般書庫區,H14萬興(館藏特色:大陸資料),873.57 6014,
88,已借出/到期:2021-08-15,H14萬興(館藏特色:大陸資料),,
89,兒童室,H14萬興(館藏特色:大陸資料),,
90,兒童室,H14萬興(館藏特色:大陸資料),,
91,兒童室,H15文山(館藏特色:茶藝),873.57 6014,
92,兒童室,H15文山(館藏特色:茶藝),,
93,已借出/到期:2010-01-24,H15文山(館藏特色:茶藝),,
94,兒童室,H15文山(館藏特色:茶藝),,
95,已借出/到期:2021-04-06,H16力行(館藏特色:臺灣文學),873.57 6014,
96,已借出/到期:2021-03-22,H16力行(館藏特色:臺灣文學),,
97,密集書庫區(採線上預約),H17景新(近景美站，館藏特色:臺北市教育),873.57 6014,
98,兒童室,H17景新(近景美站，館藏特色:臺北市教育),,
99,密集書庫區(採線上預約),H17景新(近景美站，館藏特色:臺北市教育),,
100,已借出/到期:2021-08-15,H17景新(近景美站，館藏特色:臺北市教育),,
101,密集書庫區(採線上預約),H17景新(近景美站，館藏特色:臺北市教育),,
102,預約待借中,H17景新(近景美站，館藏特色:臺北市教育),,
103,一般書庫區,H22安康,873.57 6014,
104,已借出/到期:2021-08-15,H23萬芳,873.57 6014,
105,已借出/到期:2021-08-15,H23萬芳,,
106,一般書庫區,H31公訓處借還書工作站,873.57 6014,
107,預約待借中,I11南港(館藏特色:原住民文化),873.57 6014,
108,兒童室,I11南港(館藏特色:原住民文化),,
109,已借出/到期:2021-08-15,I21龍華,873.57 6014,
110,密集書庫區(採線上預約),I21龍華,,
111,已借出/到期:2020-02-13,I21龍華,,
112,已借出/到期:2020-08-10,J11內湖(館藏特色:社會福利),873.57 6014,
113,已借出/到期:2021-08-15,J11內湖(館藏特色:社會福利),,
114,預約待借中,J11內湖(館藏特色:社會福利),,
115,一般書庫區,J11內湖(館藏特色:社會福利),,
116,已借出/到期:2021-08-15,J12東湖(館藏特色:建築美學),873.57 6014,
117,已借出/到期:2021-08-15,J12東湖(館藏特色:建築美學),,
118,兒童室,J12東湖(館藏特色:建築美學),,
119,已借出/到期:2021-08-15,J13西湖(館藏特色:音樂),873.57 6014,
120,已借出/到期:2021-08-15,J13西湖(館藏特色:音樂),,
121,已借出/到期:2021-08-15,J13西湖(館藏特色:音樂),,
122,已借出/到期:2021-08-15,J13西湖(館藏特色:音樂),,
123,已借出/到期:2021-08-15,J14西中(館藏特色:客家文化),873.57 6014,
124,兒童室,K11葫蘆堵(特色館藏:生活保健),873.57 6014,
125,已借出/到期:2021-08-15,K11葫蘆堵(特色館藏:生活保健),,
126,兒童室,K11葫蘆堵(特色館藏:生活保健),,
127,一般書庫區,K11葫蘆堵(特色館藏:生活保健),,
128,一般書庫區,K11葫蘆堵(特色館藏:生活保健),,
129,已借出/到期:2021-08-15,K11葫蘆堵(特色館藏:生活保健),,
130,歐洲文化中心,K12天母(館藏特色:歐洲文化),873.57 6014,
131,兒童室,K12天母(館藏特色:歐洲文化),,
132,已借出/到期:2021-08-15,K12天母(館藏特色:歐洲文化),,
133,兒童室,K14李科永紀念館(館藏特色:園藝),873.57 6014,
134,兒童室,K14李科永紀念館(館藏特色:園藝),,
135,一般書庫區,L11北投(館藏特色:生態保育),873.57 6014,
136,已借出/到期:2021-08-15,L11北投(館藏特色:生態保育),,
137,兒童室,L11北投(館藏特色:生態保育),,
138,兒童室,L11北投(館藏特色:生態保育),,
139,一般書庫區,L11北投(館藏特色:生態保育),,
140,兒童室,L13石牌(館藏特色:表演藝術),873.57 6014,
141,兒童室,L14清江(館藏特色:體育),873.57 6014,
142,兒童室,L14清江(館藏特色:體育),,
143,已借出/到期:2021-08-15,L14清江(館藏特色:體育),,
144,待修補,L14清江(館藏特色:體育),,
145,已借出/到期:2021-08-15,L14清江(館藏特色:體育),,
146,已借出/到期:2021-08-15,L15吉利(特色館藏:動物),873.57 6014,
147,預約待借中,L21永明,873.57 6014,
148,兒童室,L23秀山(代理稻香、關渡宮預約取書服務),873.57 6014,
149,,總館6F書架,873.57 909.1 2001,疑遺失搜尋中
150,,總館6F書架,873.57 909.1 2001,疑遺失搜尋中
151,,公館分館,873.57 909.1 2001,到期 11-13-21
152,,人文社會聯圖,873.57 6014 v.1,到期 09-15-21
153,,文哲所,873.57 R884-1/ 8666,在架上
154,,陽明大學書庫區,873.57 6014,到期 09-16-21
