,館藏地/室,索書號,狀態/到期日
0,文化局圖書館 /文化局書庫,873.57 6014 c.1 89,在館內
1,文化局圖書館 /文化局書庫,873.57 6014 c.2 89,在館內
2,宜蘭市立圖書館 /宜市書庫,873.57 6014 89,在館內
3,宜蘭市立圖書館 /宜市書庫,873.57 6014,在館內
4,宜蘭市立圖書館 /宜市書庫,857.57 6014,在館內
5,宜蘭市立圖書館 /宜市書庫,873.57 6014,在館內
6,羅東總館(李科永) /羅東兒童室,J 889 6014 v.1,外借中/2019-11-14
7,羅東總館(李科永) /羅東書庫,889 6014 89,外借中/2017-07-25
8,羅東總館(李科永) /羅東書庫,889 6014 c.2,外借中/2020-09-27
9,羅東仁愛館/羅東仁愛分館書庫,889 6014,在館內
10,羅東仁愛館/羅東仁愛分館書庫,889 6014,在館內
11,蘇澳鎮立圖書館 /蘇澳一般書庫區,889 6014,在館內
12,蘇澳鎮立圖書館 /蘇澳一般書庫區,889 6014 c.1,在館內
13,蘇澳鎮立圖書館 /蘇澳一般書庫區,889 6014 c.2,在館內
14,蘇澳鎮立圖書館 /蘇澳一般書庫區,889 6014 c.3,外借中/2019-04-02
15,蘇澳鎮立圖書館 /蘇澳一般書庫區,889 6014 c.4,在館內
16,蘇澳鎮立圖書館 /蘇澳一般書庫區,889 6014 c.5,在館內
17,頭城鎮立圖書館 /頭城書庫,873.57 6014 v.1,外借中/2004-09-03
18,頭城鎮立圖書館 /頭城館密集書庫區,873.57 6014 v.1 c.1 89,在館內
19,頭城鎮立圖書館 /頭城館密集書庫區,873.57 6014 v.1 c.3 89,在館內
20,頭城鎮立圖書館 /頭城書庫,873.57 6014 v.1 c.4 89,外借中/2010-12-14
21,頭城鎮立圖書館 /頭城書庫,873.57 6014 v.1 c.7 89,在館內
22,頭城鎮立圖書館 /頭城書庫,873.57 6014 c.5 89,在館內
23,頭城鎮立圖書館 /頭城書庫,873.57 6014 c.6 89,在館內
24,礁溪鄉立圖書館 /礁溪書庫,873.57 6014,在館內
25,礁溪鄉立圖書館 /礁溪書庫,873.57 6014 c.1,在館內
26,礁溪鄉立圖書館 /礁溪書庫,873.57 6014 c.2,外借中/2018-08-22
27,礁溪鄉立圖書館 /礁溪書庫,873.57 6014 c.3,在館內
28,壯圍鄉立圖書館 /壯圍書庫,873.57 6014,外借中/2002-06-07
29,壯圍鄉立圖書館 /壯圍書庫,873.57 6014 c.3,外借中/2008-07-29
