,圖書館,館藏地,索書號,館藏狀態,連結
0,經國管理暨健康學院 圖書館,中文書櫃,873.57 857 v.1,書在館,http://203.64.136.248/bookDetail.do?id=57928
1,經國管理暨健康學院 圖書館,中文書櫃,873.57 857 v.1 c.4,架上遺失,http://203.64.136.248/bookDetail.do?id=57928
2,經國管理暨健康學院 圖書館,中文書櫃,873.57 857 v.1 c.2,書在館,http://203.64.136.248/bookDetail.do?id=57928
3,經國管理暨健康學院 圖書館,第三書庫,873.57 857 v.1 c.3,不可外借,http://203.64.136.248/bookDetail.do?id=57928
4,臺北醫學大學圖書館,北醫總館/2F中文圖書區,873.57 6014-1 89,書在館,https://libelis.tmu.edu.tw/bookDetail.do?id=95910
5,臺北醫學大學圖書館,北醫總館/2F中文圖書區,873.57 6014-1 89,找尋中,https://libelis.tmu.edu.tw/bookDetail.do?id=95910
6,臺北醫學大學圖書館,北醫總館/2F中文圖書區,873.57 6014-1 89,書在館,https://libelis.tmu.edu.tw/bookDetail.do?id=95910
7,臺北醫學大學圖書館,雙和分館/雙和分館,873.57 6014-1 2000,書在館,https://libelis.tmu.edu.tw/bookDetail.do?id=95910
8,國立臺灣藝術大學圖書館,圖書館/4F東方語文圖書區,876.57 857 c.2,已被外借 / 2021-09-20,http://webpac.ntua.edu.tw/bookDetail.do?id=99192
9,國立臺灣藝術大學圖書館,圖書館/4F東方語文圖書區,876.57 857,書在館,http://webpac.ntua.edu.tw/bookDetail.do?id=99192
10,中國科技大學圖書資訊中心,新竹圖書館/中文圖書室,873.57 6014,書在館,https://webpac.cute.edu.tw/bookDetail.do?id=81304&Lflag=1
11,臺北市立大學圖書館,天母閉架書庫2/二樓書庫,873.57 6014 2000 c.2,書在館,http://lib.utaipei.edu.tw/webpac/bookDetail.do?id=329455&resid=188940299&nowid=1
12,臺北市立大學圖書館,天母閉架書庫2/二樓書庫,873.57 6014,書在館,http://lib.utaipei.edu.tw/webpac/bookDetail.do?id=329455&resid=188940299&nowid=1
13,臺北市立大學圖書館,博愛閉架書庫/中文圖書區,873.57 6014,書在館,http://lib.utaipei.edu.tw/webpac/bookDetail.do?id=8811&resid=188940299&nowid=2
14,館藏查詢-國立臺北商業大學圖書館,北商大圖書館總館/書庫,873.57 4220-1 c.1,書在館,http://webpac.ntub.edu.tw/bookDetail.do?id=52185
15,館藏查詢-國立臺北商業大學圖書館,桃園分館/2F書庫,873.57 4220-1 c.2,書在館,http://webpac.ntub.edu.tw/bookDetail.do?id=52185
16,國立臺灣戲曲學院,內湖校區圖書館/圖書典藏區,873.57 6044,已被外借 / 2020-09-21,http://libsearch.tcpa.edu.tw/bookDetail.do?id=40772&resid=189071376&nowid=1
17,國立臺灣戲曲學院,內湖校區圖書館/圖書典藏區,873.57 I99 2000,到館,http://libsearch.tcpa.edu.tw/bookDetail.do?id=40805&resid=189071376&nowid=2
18,國立臺灣戲曲學院,內湖校區圖書館/圖書典藏區,873.57 6044 2000 v.1,已被外借 / 2021-09-01,http://libsearch.tcpa.edu.tw/bookDetail.do?id=40773&resid=189071376&nowid=3
19,中華科技大學,新竹分館/新竹分館,Book 873.57 8666,書在館,http://192.192.231.232/bookDetail.do?id=105227&resid=188809790&nowid=1
20,中華科技大學,新竹分館/新竹分館,Book 873.57 8666,書在館,http://192.192.231.232/bookDetail.do?id=110267&resid=188809790&nowid=2
