,#,條碼號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,預約,圖書館,連結
0,1,2647000002051,莿桐鄉麻園分館/莿桐鄉麻園圖書室,873.57 4220 v.30,一般圖書/一般,可借閱,,不可預約,雲林縣公共圖書館,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188828031&nowid=1
1,2,1655000592832,元長鄉立圖書館/元長鄉圖書室,873.57 6014 2000,一般圖書/一般,可借閱,,不可預約,雲林縣公共圖書館,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188828031&nowid=1
2,3,1655000334920,元長鄉立圖書館/元長鄉圖書室,873.57 4220 v.30,一般圖書/一般,可借閱,,不可預約,雲林縣公共圖書館,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188828031&nowid=1
3,4,1654000546690,四湖鄉立圖書館/四湖鄉圖書室,873.57 6014 2000 V.1 C.2,一般圖書/一般,可借閱,,不可預約,雲林縣公共圖書館,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188828031&nowid=1
4,5,1653100032031,口湖鄉立圖書館/口湖鄉圖書室,873.57 61,一般圖書/一般,可借閱,,不可預約,雲林縣公共圖書館,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188828031&nowid=1
5,6,1652000495082,水林鄉立圖書館/水林鄉圖書室,873.57 61 2000,一般圖書/一般,可借閱,,不可預約,雲林縣公共圖書館,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188828031&nowid=1
6,7,1652000390895,水林鄉立圖書館/水林鄉圖書室,873.57 61 2000,一般圖書/一般,可借閱,,不可預約,雲林縣公共圖書館,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188828031&nowid=1
7,8,1652000248267,水林鄉立圖書館/水林鄉圖書室,873.57 4220 v.30,一般圖書/一般,可借閱,,不可預約,雲林縣公共圖書館,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188828031&nowid=1
8,9,1651000544352,北港鎮立圖書館/北港鎮圖書室,873.57 6014 2000 c1,一般圖書/一般,已被外借 / 2021-07-31,,/ 0人預約,雲林縣公共圖書館,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188828031&nowid=1
9,10,1651000203363,北港鎮立圖書館/北港鎮圖書室,873.57 6014,一般圖書/一般,可借閱,,不可預約,雲林縣公共圖書館,http://library.ylccb.gov.tw/bookDetail.do?id=9614&resid=188828031&nowid=1
10,1,1633000235462,土庫鎮立圖書館/土庫鎮圖書室,873.57 61 2000,一般圖書/一般,可借閱,,不可預約,雲林縣公共圖書館,http://library.ylccb.gov.tw/bookDetail.do?id=437714&resid=188828031&nowid=2
